id,timestamp,window_start,client_ip,server_ip,direction,protocol,service,src_port,dst_port,size,flags
162,1759201266.04366,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
163,1759201266.04366,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
164,1759201266.04366,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
165,1759201266.04366,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
166,1759201266.04366,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
167,1759201266.04366,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,79,
168,1759201266.04573,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
169,1759201266.04573,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
170,1759201266.04573,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
171,1759201266.04673,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,79,
172,1759201266.04673,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
173,1759201266.04673,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
174,1759201266.04773,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
175,1759201266.04773,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
176,1759201266.04773,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
177,1759201266.04874,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
178,1759201266.04874,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
179,1759201266.04874,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,62,
180,1759201266.06844,2025-09-30T03:01:03Z,239.255.255.250,192.168.0.4,OUT,UDP,,64102,1900,174,
181,1759201266.0699,2025-09-30T03:01:03Z,192.168.0.1,192.168.0.4,IN,UDP,,38092,64102,470,
